MSA	SPOP	SEMP	SHH
5480	381.5183393	269.124375	152.2774018
5499	1112.29	617.722	479.34
5520	305.4951253	222.4741662	133.1172721
5560	1565.139	972.051	645.213
5599	2169.776	1420.651	895.64
5600	11337.965	6807.704	4322.081
5640	2289.773	1632.332	843.035
5660	669.932	287.537	241.33
5699	499.655	389.19	208.864
5720	2299.77	1536.656	942.005
5775	3264.779	1979.562	1173.14
5790	556.444	254.149	249.444
5800	375.852	272.932	143.744
5880	1611.536	1059.725	676.915
5910	397.613	224.437	170.77
5920	1058.739	770.026	440.194
5945	4064.342	2969.307	1275.687
5960	3421.213	2193.542	1357.816
5990	99.058	68.346	42.842
6015	235.725	161.088	100.76
6020	154.054	101.895	63.69
6080	738.93	384.241	303.041
6120	372.413	287.616	157.797
6160	6039.394	4255.646	2440.783
6200	7065.594	4056.924	2545.53
6240	75.575	49.573	27.225
6280	2407.531	1846.13	1014.448
6320	45.7275	40.848375	20.23425
6340	105.79	76.448	39.082
6400	300.5095421	259.7318004	125.7972949
6440	3275.79	2002.974	1297.234
6450	420.8786222	262.9552268	176.785357
6480	1386.351066	885.2173319	587.5235148
6520	1048.019	495.835	308.315
6560	196.645	102.801	75.985
6580	250.062	115.106	126.582
6600	229.483	119.462	86.774
6640	2612.767	1724.47	1057.078
6660	124.042	90.334	50.58
6680	484.042	309.095	187.476
6690	266.655	134.178	113.237
6720	666.289	461.979	249.223
6740	392.062	215.724	148.128
6760	1757.071	1124.327	727.515
6780	7889.098	2896.262	2448.002
6800	282.238	244.2	122.92
6820	224.094	181.49	93.137
6840	1129.882	830.731	438.171
6880	521.298	280.758	211.234
6895	176.672	109.6	71.712
6920	2889.434	1682.009	1129.04
6960	390.406	265.526	160.7
6980	271.284	193.704	115.531
7000	115.358	82.276	47.502
7040	3215.734	2199.879	1351.817
7080	562.533	301.707	211.551
7120	496.563	330.464	138.731
7160	2324.706	1625.254	777.446
7200	125.437	80.031	52.823
7240	3002.109	1796.759	1120.042
7320	4368.021	2946.18	1579.976
7360	1959.174	1732.818	766.922
7400	2188.846	1617.006	706.719
7460	382	230.746	154.227
7480	480.09	367.593	161.887
7485	332.905	213.334	116.662
7490	267.489	188.873	113.531
7500	653.331	418.691	248.716
7510	1027.867	583.027	472.345
7520	479.778	312.882	196.64
7560	640.032	454.179	270.508
7600	3682.297	2719.952	1527.678
7610	115.186	83.473	47.346
7620	145.13	106.683	58.757
7640	152.29	83.56	59.386
7680	486.012	331.332	193.593
7720	129.269	88.945	49.497
7760	333.679	240.761	137.161
7800	307.297	201.014	122.618
7840	665.152	409.184	271.171
7880	225.17	165.105	101.901
7920	637.846	384.395	280.78
8000	446.7726867	305.1619203	187.5111206
8040	250.55375	204.3715	94.3145
8050	195.456	185.612	75.96
8080	114.442	66.517	50.799
8120	1000.72	436.878	323.209
8140	117.192	65.696	45.666
8160	726.459	518.574	293.434
8200	1108.333	603.557	440.238
8240	485.832	338.9	202.305
8280	3925.172	2501.124	1706.37
8320	144.871	98.939	59.625
8360	162.192	95.384	65.872
8400	617.246	446.596	253.842
8440	190.176	129.613	84.893
8480	435.642	386.873	155.646
8520	1706.764	977.954	700.476
8560	1106.718	737.69	454.751
8600	260.809	157.272	113.289
8640	312.276	208.075	118.737
8680	283.648	222.781	112.555
8720	766.409	390.68	264.544
8735	1051.5	591.256	349.078
8750	104.321	78.99	38.231
8760	175.106	95.357	61.55
8780	589.533	281.949	186.981
8800	329.288	202.894	123.268
8840	8472.08	6048.232	3379.277
8880	162.0250605	109.7465	64.74667583
8920	141.175	118.813	58.985
8940	158.224	117.302	62.895
8960	2217.142	1422.161	937.657
9000	139.499	105.036	57.266
9040	694.604	495.664	279.093
9080	148.104	96.093	57.06
9140	118.255	91.146	48.814
9160	793.146	494.366	317.339
9200	494.166	305.667	218.081
9240	606.9754222	358.9193992	251.5353292
9260	287.497	169.275	97.711
9270	324.427	202.297	112.876
9280	592.766	323.264	249.481
9320	502.348	326.537	211.801
9340	228.298	101.685	79.988
9360	396.52	160.296	146.343
